Style,Yarn,Percentage,This Week,Week 17,Week 18,Week 19,Week 20,Week 21,Week 22,Week 23,Week 24,Later,Total
125792/1,18767,91.4,"1,919.4",,,,,,,,,,"1,919.4"
125792/1,18929,8.6,180.6,,,,,,,,,,180.6
180001/20ST2,18320,13.1,336.9,102.6,,,,,,,,,439.5
180001/20ST2,18707,57.2,"1,471.0",447.9,,,,,,,,,"1,918.9"
180001/20ST2,18708,29.7,763.8,232.6,,,,,,,,,996.4
1853/L,18669,100,"2,636.6","2,000.0","1,318.3","1,318.3","1,312.7",,,,,,"8,586.0"
1853/LU,18903,100,"1,633.0","1,633.0","1,633.0","1,633.0","1,292.4",,,,,,"7,824.3"
1874/B,19057,100,,,,,,"3,200.0",,,,,"3,200.0"
1922/L,18770,100,,,,,,"2,396.7",,,,,"2,396.7"
1SM0470/30G,9863,55.3,"3,252.7","2,168.4",,,,,,,,,"5,421.1"
1SM0470/30G,11896,44.7,"2,629.2","1,752.7",,,,,,,,,"4,381.9"
1SM0824-60/0,11896,90.2,"1,587.5",,,,,,,,,,"1,587.5"
1SM0824-60/0,18290,9.8,172.5,,,,,,,,,,172.5
2027-2.9/B,19057,100,,,,,,"1,992.8","1,992.8",911.5,,,"4,897.0"
2027-2.9/MVS,18770,70.3,,,"1,363.9",358.4,,,,,,,"1,722.4"
2027-2.9/MVS,18774,29.7,,,576.2,151.4,,,,,,,727.7
205FLX2006/B,18696,53.68,374.7,374.7,374.7,374.7,374.7,374.7,374.7,374.7,374.7,"2,644.5","6,016.7"
205FLX2006/B,18870,46.32,323.3,323.3,323.3,323.3,323.3,323.3,323.3,323.3,323.3,"2,281.9","5,191.8"
205FLX2006/M,18696,55.2,384.4,384.4,384.4,384.4,384.4,298.7,,,,,"2,220.9"
2140372/I,18334,87.8,20.4,,,,,,,,,,20.4
2140372/I,18928,12.2,2.8,,,,,,,,,,2.8
2140390/I,18334,88.2,748.6,748.6,383.5,,,,,,,,"1,880.7"
2140390/I,18928,11.8,100.2,100.2,51.3,,,,,,,,251.6
2140391/I,18334,88.5,"1,522.2","1,309.8",,,,,,,,,"2,832.0"
2140391/I,18928,11.5,197.8,170.2,,,,,,,,,368.0
2140477/I,18334,87.5,700.0,,,,,,,,,,700.0
2140477/I,18928,12.5,100.0,,,,,,,,,,100.0
3009OW/0,18019,100,"5,254.1",,,,,,,,,,"5,254.1"
601SM0654/2,9863,57.2,,,800.8,,,,,,,,800.8
601SM0654/2,11896,19,,,266.0,,,,,,,,266.0
601SM0654/2,18387,23.8,,,333.2,,,,,,,,333.2
641SM0693/0,10995,57.9,,"1,563.3",,,,,,,,,"1,563.3"
641SM0693/0,11896,42.1,,"1,136.7",,,,,,,,,"1,136.7"
71246/BB,18645,58.1,,,,,,,,"2,048.9",391.3,,"2,440.2"
71246/BB,19054,41.9,,,,,,,,"1,477.6",282.2,,"1,759.8"
721SM0470/U,9863,58,"3,529.4",830.8,,,,,,,,,"4,360.3"
721SM0470/U,11896,42,"2,555.8",601.6,,,,,,,,,"3,157.4"
721SM0627/1,10027,8.6,,,463.0,117.0,,,,,,,580.0
721SM0627/1,10153,35.8,,,"1,927.4",486.9,,,,,,,"2,414.4"
721SM0627/1,10795,55.6,,,"2,993.5",756.2,,,,,,,"3,749.7"
751SM0780/1,10027,71.7,"1,356.6","1,356.6","1,356.6","1,356.6","1,356.6","1,356.6","1,057.2",,,,"9,196.8"
751SM0780/1,18290,28.3,535.5,535.5,535.5,535.5,535.5,535.5,417.3,,,,"3,630.0"
910001/ST2,18707,50.2,,,,,,,913.5,913.5,913.5,928.6,"3,669.0"
910001/ST2,18758,25.5,,,,,,,464.0,464.0,464.0,471.7,"1,863.7"
910001/ST2,18869,24.3,,,,,,,442.2,442.2,442.2,449.5,"1,776.0"
BK 5425/1,10027,8.6,187.3,,,,,,,,,,187.3
BK 5425/1,10153,39.3,856.0,,,,,,,,,,856.0
BK 5425/1,10795,52.1,"1,134.7",,,,,,,,,,"1,134.7"
BK 8101/0,11409,1.5,19.4,13.8,,,,,,,,,33.2
BK 8101/0,18341,48.9,632.1,450.1,,,,,,,,,"1,082.2"
BK 8101/0,18344,49.6,641.1,456.5,,,,,,,,,"1,097.6"
BK 8552/0,18564,77.8,3.3,,,,,,,,,,3.3
BK 8552/0,18865,22.2,0.9,,,,,,,,,,0.9
C1B3402/1D,18307,13.5,,,,,,,,,,,0.0
C1B3402/1D,18594,44.8,,,,,,,,,,,0.0
C1B3402/1D,18763,27.2,,,,,,,,,,,0.0
C1B3402/1D,18894,13.6,,,,,,,,,,,0.0
C1B3402/1D,18929,0.9,,,,,,,,,,,0.0
C1B3799/2U,12526,28.6,813.4,187.6,,,,,,,,,"1,001.0"
C1B3799/2U,18376,44.4,"1,262.7",291.3,,,,,,,,,"1,554.0"
C1B3799/2U,18667,18.2,517.6,119.4,,,,,,,,,637.0
C1B3799/2U,18865,8.8,250.3,57.7,,,,,,,,,308.0
C1B4038/1C,12526,25.9,,,676.6,100.4,,,,,,,777.0
C1B4038/1C,18376,41,,,"1,071.1",158.9,,,,,,,"1,230.0"
C1B4038/1C,18893,16.3,,,425.8,63.2,,,,,,,489.0
C1B4038/1C,18894,16.8,,,438.9,65.1,,,,,,,504.0
C1B4312A/1RECD,12526,15.9,545.6,396.1,,,,,,,,,941.6
C1B4312A/1RECD,18594,27.9,957.3,695.0,,,,,,,,,"1,652.3"
C1B4312A/1RECD,18865,4.9,168.1,122.1,,,,,,,,,290.2
C1B4312A/1RECD,18899,8.2,281.4,204.3,,,,,,,,,485.6
C1B4312A/1RECD,18927,31.7,"1,087.7",789.7,,,,,,,,,"1,877.3"
C1B4312A/1RECD,18929,0.6,20.6,14.9,,,,,,,,,35.5
C1B4312A/1RECD,18961,10.8,370.6,269.0,,,,,,,,,639.6
