sku_id,material_id,quantity_per_unit
125792/1,18767,0.914
125792/1,18929,0.086
180001/20ST2,18320,0.131
180001/20ST2,18707,0.572
180001/20ST2,18708,0.297
1853/L,18669,1.0
1853/LU,18903,1.0
1874/B,19057,1.0
1922/L,18770,1.0
1SM0470/30G,9863,0.553
1SM0470/30G,11896,0.447
1SM0824-60/0,11896,0.902
1SM0824-60/0,18290,0.098
2027-2.9/B,19057,1.0
2027-2.9/MVS,18770,0.703
2027-2.9/MVS,18774,0.297
205FLX2006/B,18696,0.5368
205FLX2006/B,18870,0.4632
205FLX2006/M,18696,0.552
2140372/I,18334,0.878
2140372/I,18928,0.122
2140390/I,18334,0.882
2140390/I,18928,0.118
2140391/I,18334,0.885
2140391/I,18928,0.115
2140477/I,18334,0.875
2140477/I,18928,0.125
3009OW/0,18019,1.0
601SM0654/2,9863,0.572
601SM0654/2,11896,0.19
601SM0654/2,18387,0.238
641SM0693/0,10995,0.579
641SM0693/0,11896,0.421
71246/BB,18645,0.581
71246/BB,19054,0.419
721SM0470/U,9863,0.58
721SM0470/U,11896,0.42
721SM0627/1,10027,0.086
721SM0627/1,10153,0.358
721SM0627/1,10795,0.556
751SM0780/1,10027,0.717
751SM0780/1,18290,0.283
910001/ST2,18707,0.502
910001/ST2,18758,0.255
910001/ST2,18869,0.243
BK 5425/1,10027,0.086
BK 5425/1,10153,0.393
BK 5425/1,10795,0.521
BK 8101/0,11409,0.015
BK 8101/0,18341,0.489
BK 8101/0,18344,0.496
BK 8552/0,18564,0.778
BK 8552/0,18865,0.222
C1B3402/1D,18307,0.135
C1B3402/1D,18594,0.448
C1B3402/1D,18763,0.272
C1B3402/1D,18894,0.136
C1B3402/1D,18929,0.009
C1B3799/2U,12526,0.286
C1B3799/2U,18376,0.444
C1B3799/2U,18667,0.182
C1B3799/2U,18865,0.088
C1B4038/1C,12526,0.259
C1B4038/1C,18376,0.41
C1B4038/1C,18893,0.163
C1B4038/1C,18894,0.168
C1B4312A/1RECD,12526,0.159
C1B4312A/1RECD,18594,0.279
C1B4312A/1RECD,18865,0.049
C1B4312A/1RECD,18899,0.082
C1B4312A/1RECD,18927,0.317
C1B4312A/1RECD,18929,0.006
C1B4312A/1RECD,18961,0.108
C1B4313A/2RECO,12526,0.158
C1B4313A/2RECO,18594,0.28
C1B4313A/2RECO,18865,0.049
C1B4313A/2RECO,18899,0.08
C1B4313A/2RECO,18927,0.313
C1B4313A/2RECO,18929,0.006
C1B4313A/2RECO,18961,0.114
C1B4338A/1L,18673,0.135
C1B4338A/1L,18763,0.332
C1B4338A/1L,18773,0.474
C1B4338A/1L,18865,0.053
C1B4338A/1L,18929,0.006
C1B4384A/4,12150,0.0887
C1B4384A/4,18372,0.6031
C1B4384A/4,18644,0.3081
C1B4545A/1D,11967,0.098
C1B4545A/1D,18794,0.549
C1B4545A/1D,18829,0.043
C1B4545A/1D,19060,0.258
C1B4571A/1A,12150,0.039
C1B4571A/1A,18646,0.074
C1B4571A/1A,18712,0.08
C1B4571A/1A,18763,0.353
C1B4571A/1A,18929,0.007
C1B4571A/1A,18954,0.069
C1B4571A/1A,19004,0.378
C1B4612A/1N,12526,0.081
C1B4612A/1N,18452,0.462
C1B4612A/1N,18673,0.237
C1B4612A/1N,19049,0.22
C1B4613A/1,12526,0.159
C1B4613A/1,18233,0.197
C1B4613A/1,18372,0.224
C1B4613A/1,18452,0.42
C1B4632A/1,12526,0.273
C1B4632A/1,18233,0.181
C1B4632A/1,18372,0.174
C1B4632A/1,18452,0.372
C1B4634A/1,12526,0.3013
C1B4634A/1,18233,0.1987
C1B4634A/1,18452,0.4103
