material_id,supplier_id,cost_per_unit,lead_time_days,moq,reliability_score,supplier_type
19020,29,3.65,8.0,1000.0,0.85,Import
18868,13,3.9,8.0,1000.0,0.85,Import
18517,10,1.09,14.0,2500.0,0.85,Import
18847,19,3.4,8.0,1500.0,0.85,Domestic
18343,28,1.05,6.0,5000.0,0.85,Import
19046,11,2.25,14.0,5000.0,0.85,Import
19009,37,7.55,14.0,10000.0,0.85,Import
19025,8,12.95,14.0,1000.0,0.85,Domestic
19033,10,1.95,14.0,2500.0,0.85,Import
18655,32,5.55,14.0,5000.0,0.85,Domestic
18789,10,2.25,14.0,2500.0,0.85,Import
18843,20,5.55,8.0,2000.0,0.85,Domestic
18514,24,0.98,14.0,1000.0,0.85,Import
18563,1,1.28,14.0,1000.0,0.85,Import
18886,12,3.56,14.0,10000.0,0.85,Import
18632,3,1.29,14.0,5000.0,0.85,Import
18633,3,1.29,14.0,5000.0,0.85,Import
18439,5,1.19,14.0,10000.0,0.85,Import
18188,1,1.2,14.0,1000.0,0.85,Import
18761,20,5.24,8.0,2000.0,0.85,Domestic
11798,25,3.45,14.0,1000.0,0.85,Import
18507,10,0.92,14.0,2500.0,0.85,Import
18467,28,1.2,6.0,5000.0,0.85,Import
18321,17,0.81,4.0,1000.0,0.85,Import
18391,28,1.06,6.0,5000.0,0.85,Import
12445,17,2.16,4.0,1000.0,0.85,Import
18232,28,1.0,6.0,5000.0,0.85,Import
11104,9,1.01,8.0,2500.0,0.85,Domestic
18101,24,0.79,14.0,1000.0,0.85,Import
18658,27,1.48,8.0,2500.0,0.85,Domestic
18867,29,3.15,8.0,1000.0,0.85,Import
18566,1,1.42,14.0,1000.0,0.85,Import
18360,24,0.72,14.0,1000.0,0.85,Import
18097,12,1.45,14.0,10000.0,0.85,Import
18297,33,2.8,14.0,1000.0,0.85,Import
12205,17,1.53,4.0,1000.0,0.85,Import
18413,10,0.92,14.0,2500.0,0.85,Import
18039,26,2.69,6.0,1000.0,0.85,Domestic
18110,17,3.71,4.0,1000.0,0.85,Import
18765,26,3.8,6.0,1000.0,0.85,Domestic
18077,17,1.56,4.0,1000.0,0.85,Import
18755,18,3.36,4.0,1000.0,0.85,Domestic
18315,28,1.05,6.0,5000.0,0.85,Import
12134,26,3.2,6.0,1000.0,0.85,Domestic
18604,29,3.31,8.0,1000.0,0.85,Import
19004,27,3.56,8.0,2500.0,0.85,Domestic
18332,33,2.76,14.0,1000.0,0.85,Import
18465,18,3.31,4.0,1000.0,0.85,Domestic
18109,17,2.77,4.0,1000.0,0.85,Import
18866,10,0.8,14.0,2500.0,0.85,Import
18660,36,2.15,8.0,1500.0,0.85,Domestic
18423,7,3.95,14.0,1000.0,0.85,Import
18314,28,1.2,6.0,5000.0,0.85,Import
12116,36,2.83,8.0,1500.0,0.85,Domestic
18713,20,5.58,8.0,2000.0,0.85,Domestic
18782,10,3.4,14.0,2500.0,0.85,Import
18609,18,5.11,4.0,1000.0,0.85,Domestic
11536,7,1.92,14.0,1000.0,0.85,Import
18318,33,3.04,14.0,1000.0,0.85,Import
18784,29,3.46,8.0,1000.0,0.85,Import
18644,28,1.26,6.0,5000.0,0.85,Import
18475,18,3.36,4.0,1000.0,0.85,Domestic
18830,18,9.49,4.0,1000.0,0.85,Domestic
6938,36,1.05,8.0,1500.0,0.85,Domestic
18852,33,5.39,14.0,1000.0,0.85,Import
18233,28,1.05,6.0,5000.0,0.85,Import
18153,18,2.9,4.0,1000.0,0.85,Domestic
18319,17,2.97,4.0,1000.0,0.85,Import
18856,20,4.15,8.0,2000.0,0.85,Domestic
18453,18,3.34,4.0,1000.0,0.85,Domestic
18629,29,3.65,8.0,1000.0,0.85,Import
18618,1,1.81,14.0,1000.0,0.85,Import
18853,27,1.57,8.0,2500.0,0.85,Domestic
18639,28,1.35,6.0,5000.0,0.85,Import
18145,17,2.68,4.0,1000.0,0.85,Import
18357,18,2.75,4.0,1000.0,0.85,Domestic
18457,9,1.21,8.0,2500.0,0.85,Domestic
18358,18,3.2,4.0,1000.0,0.85,Domestic
18725,18,3.36,4.0,1000.0,0.85,Domestic
19006,27,1.41,8.0,2500.0,0.85,Domestic
18142,26,3.2,6.0,1000.0,0.85,Domestic
18630,29,3.58,8.0,1000.0,0.85,Import
18356,18,2.75,4.0,1000.0,0.85,Domestic
11937,26,2.63,6.0,1000.0,0.85,Domestic
18616,1,2.23,14.0,1000.0,0.85,Import
18966,4,9.5,14.0,5000.0,0.85,Import
18373,10,1.26,14.0,2500.0,0.85,Import
12306,23,2.71,14.0,1000.0,0.85,Import
18849,20,4.97,8.0,2000.0,0.85,Domestic
12308,23,2.85,14.0,1000.0,0.85,Import
18466,6,4.54,10.0,10.0,0.85,Domestic
18442,18,3.39,4.0,1000.0,0.85,Domestic
18728,18,3.36,4.0,1000.0,0.85,Domestic
18164,18,3.36,4.0,1000.0,0.85,Domestic
18819,18,3.36,4.0,1000.0,0.85,Domestic
18229,18,3.3,4.0,1000.0,0.85,Domestic
18987,10,1.09,14.0,2500.0,0.85,Import
18047,26,3.74,6.0,1000.0,0.85,Domestic
18937,20,4.25,8.0,2000.0,0.85,Domestic
18753,18,3.36,4.0,1000.0,0.85,Domestic
18649,29,3.65,8.0,1000.0,0.85,Import
11461,30,2.7,14.0,1000.0,0.85,Import
18653,36,3.09,8.0,1500.0,0.85,Domestic
18139,18,2.8,4.0,1000.0,0.85,Domestic
18622,26,2.66,6.0,1000.0,0.85,Domestic
18960,18,6.91,4.0,1000.0,0.85,Domestic
11942,2,3.63,14.0,1000.0,0.85,Import
18748,27,2.69,8.0,2500.0,0.85,Domestic
18143,26,3.49,6.0,1000.0,0.85,Domestic
18726,27,1.44,8.0,2500.0,0.85,Domestic
18836,18,6.27,4.0,1000.0,0.85,Domestic
18293,18,3.36,4.0,1000.0,0.85,Domestic
18361,6,2.9,10.0,10.0,0.85,Domestic
18559,18,3.29,4.0,1000.0,0.85,Domestic
18724,26,5.46,6.0,1000.0,0.85,Domestic
12047,26,3.33,6.0,1000.0,0.85,Domestic
18328,33,3.47,14.0,1000.0,0.85,Import
18734,26,5.0,6.0,1000.0,0.85,Domestic
11570,26,3.6,6.0,1000.0,0.85,Domestic
18086,17,2.16,4.0,1000.0,0.85,Import
18430,33,5.11,14.0,1000.0,0.85,Import
18876,11,2.65,14.0,5000.0,0.85,Import
18835,18,6.34,4.0,1000.0,0.85,Domestic
18939,20,4.25,8.0,2000.0,0.85,Domestic
18307,18,3.36,4.0,1000.0,0.85,Domestic
18610,18,3.38,4.0,1000.0,0.85,Domestic
18794,10,1.65,14.0,2500.0,0.85,Import
12329,14,7.25,12.0,1000.0,0.85,Domestic
18396,36,5.45,8.0,1500.0,0.85,Domestic
18613,1,2.18,14.0,1000.0,0.85,Import
18556,18,2.8,4.0,1000.0,0.85,Domestic
18150,17,2.26,4.0,1000.0,0.85,Import
18513,18,2.8,4.0,1000.0,0.85,Domestic
18327,33,3.05,14.0,1000.0,0.85,Import
18570,18,2.8,4.0,1000.0,0.85,Domestic
18383,18,2.8,4.0,1000.0,0.85,Domestic
18888,12,2.56,14.0,10000.0,0.85,Import
19000,10,1.69,14.0,2500.0,0.85,Import
18372,10,1.12,14.0,2500.0,0.85,Import
18444,26,3.84,6.0,1000.0,0.85,Domestic
18312,28,1.35,6.0,5000.0,0.85,Import
18930,18,6.44,4.0,1000.0,0.85,Domestic
18710,27,1.62,8.0,2500.0,0.85,Domestic
18593,36,2.86,8.0,1500.0,0.85,Domestic
18766,26,3.4,6.0,1000.0,0.85,Domestic
11429,26,3.7,6.0,1000.0,0.85,Domestic
18605,29,3.53,8.0,1000.0,0.85,Import
18555,18,3.26,4.0,1000.0,0.85,Domestic
18878,10,1.47,14.0,2500.0,0.85,Import
18476,35,9.25,8.0,2500.0,0.85,Import
18923,20,3.82,8.0,2000.0,0.85,Domestic
18625,18,2.91,4.0,1000.0,0.85,Domestic
18477,35,8.0,8.0,2500.0,0.85,Import
11344,36,4.58,8.0,1500.0,0.85,Domestic
18893,10,2.2,14.0,2500.0,0.85,Import
18547,18,2.8,4.0,1000.0,0.85,Domestic
18854,27,1.82,8.0,2500.0,0.85,Domestic
19030,11,1.35,14.0,5000.0,0.85,Import
7716,27,2.31,8.0,2500.0,0.85,Domestic
18628,26,2.91,6.0,1000.0,0.85,Domestic
18679,36,2.67,8.0,1500.0,0.85,Domestic
18993,10,1.75,14.0,2500.0,0.85,Import
18895,21,1.52,10.0,10000.0,0.85,Import
18208,36,2.6,8.0,1500.0,0.85,Domestic
18228,24,1.25,14.0,1000.0,0.85,Import
18931,18,6.37,4.0,1000.0,0.85,Domestic
18363,28,1.68,6.0,5000.0,0.85,Import
18469,16,1.4,8.0,1000.0,0.85,Import
18891,12,2.56,14.0,10000.0,0.85,Import
18133,26,3.98,6.0,1000.0,0.85,Domestic
18623,26,2.92,6.0,1000.0,0.85,Domestic
18598,18,3.36,4.0,1000.0,0.85,Domestic
11967,26,3.7,6.0,1000.0,0.85,Domestic
18935,18,3.36,4.0,1000.0,0.85,Domestic
18845,9,1.2,8.0,2500.0,0.85,Domestic
18821,18,8.55,4.0,1000.0,0.85,Domestic
18887,12,1.91,14.0,10000.0,0.85,Import
18452,10,1.25,14.0,2500.0,0.85,Import
18184,26,3.69,6.0,1000.0,0.85,Domestic
18317,9,1.9,8.0,2500.0,0.85,Domestic
18359,28,1.2,6.0,5000.0,0.85,Import
18865,36,1.12,8.0,1500.0,0.85,Domestic
18990,27,1.75,8.0,2500.0,0.85,Domestic
10742,36,7.88,8.0,1500.0,0.85,Domestic
18961,26,2.45,6.0,1000.0,0.85,Domestic
18285,18,3.45,4.0,1000.0,0.85,Domestic
19021,27,2.4,8.0,2500.0,0.85,Domestic
18776,37,7.45,14.0,10000.0,0.85,Import
18826,11,2.8,14.0,5000.0,0.85,Import
18414,10,1.1,14.0,2500.0,0.85,Import
18651,37,8.1,14.0,10000.0,0.85,Import
18998,10,1.58,14.0,2500.0,0.85,Import
18800,18,8.55,4.0,1000.0,0.85,Domestic
12526,36,1.14,8.0,1500.0,0.85,Domestic
18973,37,7.4,14.0,10000.0,0.85,Import
18617,1,2.33,14.0,1000.0,0.85,Import
18927,10,1.5,14.0,2500.0,0.85,Import
18719,26,5.36,6.0,1000.0,0.85,Domestic
18899,27,3.78,8.0,2500.0,0.85,Domestic
18894,10,2.15,14.0,2500.0,0.85,Import
18733,18,3.36,4.0,1000.0,0.85,Domestic
18287,18,2.8,4.0,1000.0,0.85,Domestic
18892,10,2.15,14.0,2500.0,0.85,Import
19034,11,1.65,14.0,5000.0,0.85,Import
11927,36,1.14,8.0,1500.0,0.85,Domestic
18454,18,3.17,4.0,1000.0,0.85,Domestic
18376,10,1.42,14.0,2500.0,0.85,Import
18832,15,3.9,14.0,1500.0,0.85,Import
18615,1,2.13,14.0,1000.0,0.85,Import
18756,37,7.29,14.0,10000.0,0.85,Import
18910,27,3.63,8.0,2500.0,0.85,Domestic
19040,11,2.4,14.0,5000.0,0.85,Import
18912,18,3.36,4.0,1000.0,0.85,Domestic
18954,26,2.95,6.0,1000.0,0.85,Domestic
18306,18,2.8,4.0,1000.0,0.85,Domestic
18712,18,3.36,4.0,1000.0,0.85,Domestic
18787,18,3.36,4.0,1000.0,0.85,Domestic
18988,26,3.55,6.0,1000.0,0.85,Domestic
18890,12,2.56,14.0,10000.0,0.85,Import
18614,1,2.24,14.0,1000.0,0.85,Import
18763,22,1.13,14.0,10000.0,0.85,Import
18785,37,8.12,14.0,10000.0,0.85,Import
18594,37,5.21,14.0,10000.0,0.85,Import
18290,36,5.1,8.0,1500.0,0.85,Domestic
18706,31,5.15,14.0,5000.0,0.85,Domestic
18913,37,8.72,14.0,10000.0,0.85,Import
18667,18,3.36,4.0,1000.0,0.85,Domestic
18673,10,1.82,14.0,2500.0,0.85,Import
18674,10,1.84,14.0,2500.0,0.85,Import
18690,20,4.15,8.0,2000.0,0.85,Domestic
18900,27,3.58,8.0,2500.0,0.85,Domestic
18737,22,2.36,14.0,10000.0,0.85,Import
18261,33,2.2,14.0,1000.0,0.85,Import
18620,36,2.41,8.0,1500.0,0.85,Domestic
18773,37,7.44,14.0,10000.0,0.85,Import
18553,33,6.56,14.0,1000.0,0.85,Import
18872,27,2.06,8.0,2500.0,0.85,Domestic
18489,34,12.99,14.0,1000.0,0.85,Domestic
18569,10,1.68,14.0,2500.0,0.85,Import
18576,27,2.71,8.0,2500.0,0.85,Domestic
14148,18,3.2,4.0,1000.0,0.85,Domestic
18438,5,1.15,14.0,10000.0,0.85,Import
