sku_id,material_id,qty_per_unit,unit
125792/1,18767,0.914,lbs
125792/1,18929,0.086,lbs
180001/20ST2,18320,0.131,lbs
180001/20ST2,18707,0.572,lbs
180001/20ST2,18708,0.297,lbs
1853/L,18669,1.0,lbs
1853/LU,18903,1.0,lbs
1874/B,19057,1.0,lbs
1922/L,18770,1.0,lbs
1SM0470/30G,9863,0.553,lbs
1SM0470/30G,11896,0.447,lbs
1SM0824-60/0,11896,0.902,lbs
1SM0824-60/0,18290,0.098,lbs
2027-2.9/B,19057,1.0,lbs
2027-2.9/MVS,18770,0.703,lbs
2027-2.9/MVS,18774,0.297,lbs
205FLX2006/B,18696,0.5368,lbs
205FLX2006/B,18870,0.4632,lbs
205FLX2006/M,18696,0.552,lbs
2140372/I,18334,0.878,lbs
2140372/I,18928,0.122,lbs
2140390/I,18334,0.882,lbs
2140390/I,18928,0.118,lbs
2140391/I,18334,0.885,lbs
2140391/I,18928,0.115,lbs
2140477/I,18334,0.875,lbs
2140477/I,18928,0.125,lbs
3009OW/0,18019,1.0,lbs
601SM0654/2,9863,0.572,lbs
601SM0654/2,11896,0.19,lbs
601SM0654/2,18387,0.238,lbs
641SM0693/0,10995,0.579,lbs
641SM0693/0,11896,0.421,lbs
71246/BB,18645,0.581,lbs
71246/BB,19054,0.419,lbs
721SM0470/U,9863,0.58,lbs
721SM0470/U,11896,0.42,lbs
721SM0627/1,10027,0.086,lbs
721SM0627/1,10153,0.358,lbs
721SM0627/1,10795,0.556,lbs
751SM0780/1,10027,0.717,lbs
751SM0780/1,18290,0.283,lbs
910001/ST2,18707,0.502,lbs
910001/ST2,18758,0.255,lbs
910001/ST2,18869,0.243,lbs
BK 5425/1,10027,0.086,lbs
BK 5425/1,10153,0.393,lbs
BK 5425/1,10795,0.521,lbs
BK 8101/0,11409,0.015,lbs
BK 8101/0,18341,0.489,lbs
BK 8101/0,18344,0.496,lbs
BK 8552/0,18564,0.778,lbs
BK 8552/0,18865,0.222,lbs
C1B3402/1D,18307,0.135,lbs
C1B3402/1D,18594,0.448,lbs
C1B3402/1D,18763,0.272,lbs
C1B3402/1D,18894,0.136,lbs
C1B3402/1D,18929,0.009,lbs
C1B3799/2U,12526,0.286,lbs
C1B3799/2U,18376,0.444,lbs
C1B3799/2U,18667,0.182,lbs
C1B3799/2U,18865,0.088,lbs
C1B4038/1C,12526,0.259,lbs
C1B4038/1C,18376,0.41,lbs
C1B4038/1C,18893,0.163,lbs
C1B4038/1C,18894,0.168,lbs
C1B4312A/1RECD,12526,0.159,lbs
C1B4312A/1RECD,18594,0.279,lbs
C1B4312A/1RECD,18865,0.049,lbs
C1B4312A/1RECD,18899,0.082,lbs
C1B4312A/1RECD,18927,0.317,lbs
C1B4312A/1RECD,18929,0.006,lbs
C1B4312A/1RECD,18961,0.108,lbs
C1B4313A/2RECO,12526,0.158,lbs
C1B4313A/2RECO,18594,0.28,lbs
C1B4313A/2RECO,18865,0.049,lbs
C1B4313A/2RECO,18899,0.08,lbs
C1B4313A/2RECO,18927,0.313,lbs
C1B4313A/2RECO,18929,0.006,lbs
C1B4313A/2RECO,18961,0.114,lbs
C1B4338A/1L,18673,0.135,lbs
C1B4338A/1L,18763,0.332,lbs
C1B4338A/1L,18773,0.474,lbs
C1B4338A/1L,18865,0.053,lbs
C1B4338A/1L,18929,0.006,lbs
C1B4384A/4,12150,0.0887,lbs
C1B4384A/4,18372,0.6031,lbs
C1B4384A/4,18644,0.3081,lbs
C1B4545A/1D,11967,0.098,lbs
C1B4545A/1D,18794,0.549,lbs
C1B4545A/1D,18829,0.043,lbs
C1B4545A/1D,19060,0.258,lbs
C1B4571A/1A,12150,0.039,lbs
C1B4571A/1A,18646,0.074,lbs
C1B4571A/1A,18712,0.08,lbs
C1B4571A/1A,18763,0.353,lbs
C1B4571A/1A,18929,0.007,lbs
C1B4571A/1A,18954,0.069,lbs
C1B4571A/1A,19004,0.378,lbs
C1B4612A/1N,12526,0.081,lbs
C1B4612A/1N,18452,0.462,lbs
C1B4612A/1N,18673,0.237,lbs
C1B4612A/1N,19049,0.22,lbs
C1B4613A/1,12526,0.159,lbs
C1B4613A/1,18233,0.197,lbs
C1B4613A/1,18372,0.224,lbs
C1B4613A/1,18452,0.42,lbs
C1B4632A/1,12526,0.273,lbs
C1B4632A/1,18233,0.181,lbs
C1B4632A/1,18372,0.174,lbs
C1B4632A/1,18452,0.372,lbs
C1B4634A/1,12526,0.3013,lbs
C1B4634A/1,18233,0.1987,lbs
C1B4634A/1,18452,0.4103,lbs
C1B4634A/1,18865,0.0897,lbs
C1B4637A/1,18233,0.1281,lbs
C1B4637A/1,18376,0.3126,lbs
C1B4637A/1,18414,0.3009,lbs
