sku_id,forecast_qty,forecast_date,source
125792/1,583,2025-07-28,sales_history
125792/1,456,2025-08-27,sales_history
125792/1,433,2025-09-26,sales_history
180001/20ST2,603,2025-07-28,sales_history
180001/20ST2,510,2025-08-27,sales_history
180001/20ST2,654,2025-09-26,sales_history
1853/L,791,2025-07-28,sales_history
1853/L,963,2025-08-27,sales_history
1853/L,788,2025-09-26,sales_history
1853/LU,690,2025-07-28,sales_history
1853/LU,836,2025-08-27,sales_history
1853/LU,988,2025-09-26,sales_history
1874/B,533,2025-07-28,sales_history
1874/B,407,2025-08-27,sales_history
1874/B,416,2025-09-26,sales_history
1922/L,752,2025-07-28,sales_history
1922/L,649,2025-08-27,sales_history
1922/L,791,2025-09-26,sales_history
1SM0470/30G,504,2025-07-28,sales_history
1SM0470/30G,568,2025-08-27,sales_history
1SM0470/30G,465,2025-09-26,sales_history
1SM0824-60/0,819,2025-07-28,sales_history
1SM0824-60/0,736,2025-08-27,sales_history
1SM0824-60/0,760,2025-09-26,sales_history
2027-2.9/B,940,2025-07-28,sales_history
2027-2.9/B,870,2025-08-27,sales_history
2027-2.9/B,956,2025-09-26,sales_history
2027-2.9/MVS,226,2025-07-28,sales_history
2027-2.9/MVS,280,2025-08-27,sales_history
2027-2.9/MVS,279,2025-09-26,sales_history
205FLX2006/B,392,2025-07-28,sales_history
205FLX2006/B,313,2025-08-27,sales_history
205FLX2006/B,295,2025-09-26,sales_history
205FLX2006/M,553,2025-07-28,sales_history
205FLX2006/M,687,2025-08-27,sales_history
205FLX2006/M,681,2025-09-26,sales_history
2140372/I,101,2025-07-28,sales_history
2140372/I,123,2025-08-27,sales_history
2140372/I,100,2025-09-26,sales_history
2140390/I,824,2025-07-28,sales_history
2140390/I,1026,2025-08-27,sales_history
2140390/I,894,2025-09-26,sales_history
2140391/I,645,2025-07-28,sales_history
2140391/I,732,2025-08-27,sales_history
2140391/I,556,2025-09-26,sales_history
2140477/I,309,2025-07-28,sales_history
2140477/I,318,2025-08-27,sales_history
2140477/I,325,2025-09-26,sales_history
3009OW/0,787,2025-07-28,sales_history
3009OW/0,717,2025-08-27,sales_history
3009OW/0,781,2025-09-26,sales_history
601SM0654/2,696,2025-07-28,sales_history
601SM0654/2,728,2025-08-27,sales_history
601SM0654/2,529,2025-09-26,sales_history
641SM0693/0,306,2025-07-28,sales_history
641SM0693/0,281,2025-08-27,sales_history
641SM0693/0,281,2025-09-26,sales_history
71246/BB,172,2025-07-28,sales_history
71246/BB,200,2025-08-27,sales_history
71246/BB,194,2025-09-26,sales_history
