material_id,supplier_id,cost_per_unit,lead_time_days,moq,reliability_score,ordering_cost,holding_cost_rate
19020.0,R BELDA LLORENS,3.65,8,1000,0.95,100.0,0.25
18868.0,FERR,3.9,8,1000,0.95,100.0,0.25
18517.0,DECA GLOBAL,1.09,14,2500,0.95,100.0,0.25
18847.0,"MIKE BECKER, INC",3.4,8,1500,0.95,100.0,0.25
18343.0,PROMPTEX YARNS INC,1.05,6,5000,0.95,100.0,0.25
19046.0,DUNAWAY YARNS INC,2.25,14,5000,0.95,100.0,0.25
19009.0,VERTEX,7.55,14,10000,0.95,100.0,0.25
19033.0,DECA GLOBAL,1.95,14,2500,0.95,100.0,0.25
18655.0,SPUNGOLD,5.55,14,5000,0.95,100.0,0.25
18789.0,DECA GLOBAL,2.25,14,2500,0.95,100.0,0.25
18843.0,MINIFIBERS,5.55,8,2000,0.95,100.0,0.25
18886.0,"EDPA USA, LLC",3.56,14,10000,0.95,100.0,0.25
18632.0,BANSWARA SYNTEX LIMITED,1.29,14,5000,0.95,100.0,0.25
18633.0,BANSWARA SYNTEX LIMITED,1.29,14,5000,0.95,100.0,0.25
18439.0,"BIELTEX, S.L.",1.19,14,10000,0.95,100.0,0.25
18761.0,MINIFIBERS,5.24,8,2000,0.95,100.0,0.25
18507.0,DECA GLOBAL,0.92,14,2500,0.95,100.0,0.25
18467.0,PROMPTEX YARNS INC,1.2,6,5000,0.95,100.0,0.25
18321.0,KC TEX INC,0.81,4,1000,0.95,100.0,0.25
18391.0,PROMPTEX YARNS INC,1.06,6,5000,0.95,100.0,0.25
12445.0,KC TEX INC,2.16,4,1000,0.95,100.0,0.25
18232.0,PROMPTEX YARNS INC,1.0,6,5000,0.95,100.0,0.25
11104.0,CS AMERICA,1.01,8,2500,0.95,100.0,0.25
18658.0,PARKDALE YARN MILLS,1.48,8,2500,0.95,100.0,0.25
18867.0,R BELDA LLORENS,3.15,8,1000,0.95,100.0,0.25
18097.0,"EDPA USA, LLC",1.45,14,10000,0.95,100.0,0.25
12205.0,KC TEX INC,1.53,4,1000,0.95,100.0,0.25
18413.0,DECA GLOBAL,0.92,14,2500,0.95,100.0,0.25
18039.0,OMARA TEXTILES,2.69,6,1000,0.95,100.0,0.25
18110.0,KC TEX INC,3.71,4,1000,0.95,100.0,0.25
18765.0,OMARA TEXTILES,3.8,6,1000,0.95,100.0,0.25
18077.0,KC TEX INC,1.56,4,1000,0.95,100.0,0.25
18755.0,MERIDIAN SPECIALTY YARN GROUP INC,3.36,4,1000,0.95,100.0,0.25
18315.0,PROMPTEX YARNS INC,1.05,6,5000,0.95,100.0,0.25
12134.0,OMARA TEXTILES,3.2,6,1000,0.95,100.0,0.25
18604.0,R BELDA LLORENS,3.31,8,1000,0.95,100.0,0.25
19004.0,PARKDALE YARN MILLS,3.56,8,2500,0.95,100.0,0.25
18465.0,MERIDIAN SPECIALTY YARN GROUP INC,3.31,4,1000,0.95,100.0,0.25
18109.0,KC TEX INC,2.77,4,1000,0.95,100.0,0.25
18866.0,DECA GLOBAL,0.8,14,2500,0.95,100.0,0.25
18660.0,UNIFI,2.15,8,1500,0.95,100.0,0.25
18314.0,PROMPTEX YARNS INC,1.2,6,5000,0.95,100.0,0.25
12116.0,UNIFI,2.83,8,1500,0.95,100.0,0.25
18713.0,MINIFIBERS,5.58,8,2000,0.95,100.0,0.25
18782.0,DECA GLOBAL,3.4,14,2500,0.95,100.0,0.25
18609.0,MERIDIAN SPECIALTY YARN GROUP INC,5.11,4,1000,0.95,100.0,0.25
18784.0,R BELDA LLORENS,3.46,8,1000,0.95,100.0,0.25
18644.0,PROMPTEX YARNS INC,1.26,6,5000,0.95,100.0,0.25
18475.0,MERIDIAN SPECIALTY YARN GROUP INC,3.36,4,1000,0.95,100.0,0.25
18830.0,MERIDIAN SPECIALTY YARN GROUP INC,9.49,4,1000,0.95,100.0,0.25
6938.0,UNIFI,1.05,8,1500,0.95,100.0,0.25
18233.0,PROMPTEX YARNS INC,1.05,6,5000,0.95,100.0,0.25
18153.0,MERIDIAN SPECIALTY YARN GROUP INC,2.9,4,1000,0.95,100.0,0.25
18319.0,KC TEX INC,2.97,4,1000,0.95,100.0,0.25
18856.0,MINIFIBERS,4.15,8,2000,0.95,100.0,0.25
18453.0,MERIDIAN SPECIALTY YARN GROUP INC,3.34,4,1000,0.95,100.0,0.25
18629.0,R BELDA LLORENS,3.65,8,1000,0.95,100.0,0.25
18853.0,PARKDALE YARN MILLS,1.57,8,2500,0.95,100.0,0.25
18639.0,PROMPTEX YARNS INC,1.35,6,5000,0.95,100.0,0.25
18145.0,KC TEX INC,2.68,4,1000,0.95,100.0,0.25
18357.0,MERIDIAN SPECIALTY YARN GROUP INC,2.75,4,1000,0.95,100.0,0.25
18457.0,CS AMERICA,1.21,8,2500,0.95,100.0,0.25
18358.0,MERIDIAN SPECIALTY YARN GROUP INC,3.2,4,1000,0.95,100.0,0.25
18725.0,MERIDIAN SPECIALTY YARN GROUP INC,3.36,4,1000,0.95,100.0,0.25
19006.0,PARKDALE YARN MILLS,1.41,8,2500,0.95,100.0,0.25
18142.0,OMARA TEXTILES,3.2,6,1000,0.95,100.0,0.25
18630.0,R BELDA LLORENS,3.58,8,1000,0.95,100.0,0.25
18356.0,MERIDIAN SPECIALTY YARN GROUP INC,2.75,4,1000,0.95,100.0,0.25
11937.0,OMARA TEXTILES,2.63,6,1000,0.95,100.0,0.25
18966.0,Betareks A. S.,9.5,14,5000,0.95,100.0,0.25
18373.0,DECA GLOBAL,1.26,14,2500,0.95,100.0,0.25
18849.0,MINIFIBERS,4.97,8,2000,0.95,100.0,0.25
18466.0,BUHLER QUALITY YARNS CORP,4.54,10,10,0.95,100.0,0.25
18442.0,MERIDIAN SPECIALTY YARN GROUP INC,3.39,4,1000,0.95,100.0,0.25
18728.0,MERIDIAN SPECIALTY YARN GROUP INC,3.36,4,1000,0.95,100.0,0.25
18164.0,MERIDIAN SPECIALTY YARN GROUP INC,3.36,4,1000,0.95,100.0,0.25
18819.0,MERIDIAN SPECIALTY YARN GROUP INC,3.36,4,1000,0.95,100.0,0.25
18229.0,MERIDIAN SPECIALTY YARN GROUP INC,3.3,4,1000,0.95,100.0,0.25
18987.0,DECA GLOBAL,1.09,14,2500,0.95,100.0,0.25
18047.0,OMARA TEXTILES,3.74,6,1000,0.95,100.0,0.25
18937.0,MINIFIBERS,4.25,8,2000,0.95,100.0,0.25
18753.0,MERIDIAN SPECIALTY YARN GROUP INC,3.36,4,1000,0.95,100.0,0.25
18649.0,R BELDA LLORENS,3.65,8,1000,0.95,100.0,0.25
18653.0,UNIFI,3.09,8,1500,0.95,100.0,0.25
18139.0,MERIDIAN SPECIALTY YARN GROUP INC,2.8,4,1000,0.95,100.0,0.25
18622.0,OMARA TEXTILES,2.66,6,1000,0.95,100.0,0.25
18960.0,MERIDIAN SPECIALTY YARN GROUP INC,6.91,4,1000,0.95,100.0,0.25
18748.0,PARKDALE YARN MILLS,2.69,8,2500,0.95,100.0,0.25
18143.0,OMARA TEXTILES,3.49,6,1000,0.95,100.0,0.25
18726.0,PARKDALE YARN MILLS,1.44,8,2500,0.95,100.0,0.25
18836.0,MERIDIAN SPECIALTY YARN GROUP INC,6.27,4,1000,0.95,100.0,0.25
18293.0,MERIDIAN SPECIALTY YARN GROUP INC,3.36,4,1000,0.95,100.0,0.25
18361.0,BUHLER QUALITY YARNS CORP,2.9,10,10,0.95,100.0,0.25
18559.0,MERIDIAN SPECIALTY YARN GROUP INC,3.29,4,1000,0.95,100.0,0.25
18724.0,OMARA TEXTILES,5.46,6,1000,0.95,100.0,0.25
12047.0,OMARA TEXTILES,3.33,6,1000,0.95,100.0,0.25
18734.0,OMARA TEXTILES,5.0,6,1000,0.95,100.0,0.25
11570.0,OMARA TEXTILES,3.6,6,1000,0.95,100.0,0.25
18086.0,KC TEX INC,2.16,4,1000,0.95,100.0,0.25
18876.0,DUNAWAY YARNS INC,2.65,14,5000,0.95,100.0,0.25
18835.0,MERIDIAN SPECIALTY YARN GROUP INC,6.34,4,1000,0.95,100.0,0.25
18939.0,MINIFIBERS,4.25,8,2000,0.95,100.0,0.25
18307.0,MERIDIAN SPECIALTY YARN GROUP INC,3.36,4,1000,0.95,100.0,0.25
18610.0,MERIDIAN SPECIALTY YARN GROUP INC,3.38,4,1000,0.95,100.0,0.25
18794.0,DECA GLOBAL,1.65,14,2500,0.95,100.0,0.25
12329.0,FILSPEC Yarns,7.25,12,1000,0.95,100.0,0.25
18396.0,UNIFI,5.45,8,1500,0.95,100.0,0.25
18556.0,MERIDIAN SPECIALTY YARN GROUP INC,2.8,4,1000,0.95,100.0,0.25
18150.0,KC TEX INC,2.26,4,1000,0.95,100.0,0.25
18513.0,MERIDIAN SPECIALTY YARN GROUP INC,2.8,4,1000,0.95,100.0,0.25
18570.0,MERIDIAN SPECIALTY YARN GROUP INC,2.8,4,1000,0.95,100.0,0.25
18383.0,MERIDIAN SPECIALTY YARN GROUP INC,2.8,4,1000,0.95,100.0,0.25
18888.0,"EDPA USA, LLC",2.56,14,10000,0.95,100.0,0.25
19000.0,DECA GLOBAL,1.69,14,2500,0.95,100.0,0.25
18372.0,DECA GLOBAL,1.12,14,2500,0.95,100.0,0.25
18444.0,OMARA TEXTILES,3.84,6,1000,0.95,100.0,0.25
18312.0,PROMPTEX YARNS INC,1.35,6,5000,0.95,100.0,0.25
18930.0,MERIDIAN SPECIALTY YARN GROUP INC,6.44,4,1000,0.95,100.0,0.25
18710.0,PARKDALE YARN MILLS,1.62,8,2500,0.95,100.0,0.25
18593.0,UNIFI,2.86,8,1500,0.95,100.0,0.25
18766.0,OMARA TEXTILES,3.4,6,1000,0.95,100.0,0.25
11429.0,OMARA TEXTILES,3.7,6,1000,0.95,100.0,0.25
18605.0,R BELDA LLORENS,3.53,8,1000,0.95,100.0,0.25
18555.0,MERIDIAN SPECIALTY YARN GROUP INC,3.26,4,1000,0.95,100.0,0.25
18878.0,DECA GLOBAL,1.47,14,2500,0.95,100.0,0.25
18476.0,TEXPERTS CANADA INC,9.25,8,2500,0.95,100.0,0.25
18923.0,MINIFIBERS,3.82,8,2000,0.95,100.0,0.25
18625.0,MERIDIAN SPECIALTY YARN GROUP INC,2.91,4,1000,0.95,100.0,0.25
18477.0,TEXPERTS CANADA INC,8.0,8,2500,0.95,100.0,0.25
11344.0,UNIFI,4.58,8,1500,0.95,100.0,0.25
18893.0,DECA GLOBAL,2.2,14,2500,0.95,100.0,0.25
18547.0,MERIDIAN SPECIALTY YARN GROUP INC,2.8,4,1000,0.95,100.0,0.25
18854.0,PARKDALE YARN MILLS,1.82,8,2500,0.95,100.0,0.25
19030.0,DUNAWAY YARNS INC,1.35,14,5000,0.95,100.0,0.25
7716.0,PARKDALE YARN MILLS,2.31,8,2500,0.95,100.0,0.25
18628.0,OMARA TEXTILES,2.91,6,1000,0.95,100.0,0.25
18679.0,UNIFI,2.67,8,1500,0.95,100.0,0.25
18993.0,DECA GLOBAL,1.75,14,2500,0.95,100.0,0.25
18895.0,MURAT YAPI,1.52,10,10000,0.95,100.0,0.25
18208.0,UNIFI,2.6,8,1500,0.95,100.0,0.25
18931.0,MERIDIAN SPECIALTY YARN GROUP INC,6.37,4,1000,0.95,100.0,0.25
18363.0,PROMPTEX YARNS INC,1.68,6,5000,0.95,100.0,0.25
18469.0,HYOSUNG HOLDINGS USA INC,1.4,8,1000,0.95,100.0,0.25
18891.0,"EDPA USA, LLC",2.56,14,10000,0.95,100.0,0.25
18133.0,OMARA TEXTILES,3.98,6,1000,0.95,100.0,0.25
18623.0,OMARA TEXTILES,2.92,6,1000,0.95,100.0,0.25
18598.0,MERIDIAN SPECIALTY YARN GROUP INC,3.36,4,1000,0.95,100.0,0.25
11967.0,OMARA TEXTILES,3.7,6,1000,0.95,100.0,0.25
18935.0,MERIDIAN SPECIALTY YARN GROUP INC,3.36,4,1000,0.95,100.0,0.25
18845.0,CS AMERICA,1.2,8,2500,0.95,100.0,0.25
18821.0,MERIDIAN SPECIALTY YARN GROUP INC,8.55,4,1000,0.95,100.0,0.25
18887.0,"EDPA USA, LLC",1.91,14,10000,0.95,100.0,0.25
18452.0,DECA GLOBAL,1.25,14,2500,0.95,100.0,0.25
18184.0,OMARA TEXTILES,3.69,6,1000,0.95,100.0,0.25
18317.0,CS AMERICA,1.9,8,2500,0.95,100.0,0.25
18359.0,PROMPTEX YARNS INC,1.2,6,5000,0.95,100.0,0.25
18865.0,UNIFI,1.12,8,1500,0.95,100.0,0.25
18990.0,PARKDALE YARN MILLS,1.75,8,2500,0.95,100.0,0.25
10742.0,UNIFI,7.88,8,1500,0.95,100.0,0.25
18961.0,OMARA TEXTILES,2.45,6,1000,0.95,100.0,0.25
18285.0,MERIDIAN SPECIALTY YARN GROUP INC,3.45,4,1000,0.95,100.0,0.25
19021.0,PARKDALE YARN MILLS,2.4,8,2500,0.95,100.0,0.25
18776.0,VERTEX,7.45,14,10000,0.95,100.0,0.25
18826.0,DUNAWAY YARNS INC,2.8,14,5000,0.95,100.0,0.25
18414.0,DECA GLOBAL,1.1,14,2500,0.95,100.0,0.25
18651.0,VERTEX,8.1,14,10000,0.95,100.0,0.25
18998.0,DECA GLOBAL,1.58,14,2500,0.95,100.0,0.25
18800.0,MERIDIAN SPECIALTY YARN GROUP INC,8.55,4,1000,0.95,100.0,0.25
12526.0,UNIFI,1.14,8,1500,0.95,100.0,0.25
18973.0,VERTEX,7.4,14,10000,0.95,100.0,0.25
18927.0,DECA GLOBAL,1.5,14,2500,0.95,100.0,0.25
18719.0,OMARA TEXTILES,5.36,6,1000,0.95,100.0,0.25
18899.0,PARKDALE YARN MILLS,3.78,8,2500,0.95,100.0,0.25
18894.0,DECA GLOBAL,2.15,14,2500,0.95,100.0,0.25
18733.0,MERIDIAN SPECIALTY YARN GROUP INC,3.36,4,1000,0.95,100.0,0.25
18287.0,MERIDIAN SPECIALTY YARN GROUP INC,2.8,4,1000,0.95,100.0,0.25
18892.0,DECA GLOBAL,2.15,14,2500,0.95,100.0,0.25
19034.0,DUNAWAY YARNS INC,1.65,14,5000,0.95,100.0,0.25
11927.0,UNIFI,1.14,8,1500,0.95,100.0,0.25
18454.0,MERIDIAN SPECIALTY YARN GROUP INC,3.17,4,1000,0.95,100.0,0.25
18376.0,DECA GLOBAL,1.42,14,2500,0.95,100.0,0.25
18832.0,HICKORY THROWING COMPANY,3.9,14,1500,0.95,100.0,0.25
18756.0,VERTEX,7.29,14,10000,0.95,100.0,0.25
18910.0,PARKDALE YARN MILLS,3.63,8,2500,0.95,100.0,0.25
19040.0,DUNAWAY YARNS INC,2.4,14,5000,0.95,100.0,0.25
18912.0,MERIDIAN SPECIALTY YARN GROUP INC,3.36,4,1000,0.95,100.0,0.25
18954.0,OMARA TEXTILES,2.95,6,1000,0.95,100.0,0.25
