style,forecast_qty,monthly_demand,inventory,coverage,shortage
50000182,775,258.3333333333333,0.0,0.0,775.0
50000175,415,138.33333333333334,0.0,0.0,415.0
50000176,318,106.0,0.0,0.0,318.0
700094134,1288,429.3333333333333,0.0,0.0,1288.0
50000183,958,319.3333333333333,0.0,0.0,958.0
50000174,731,243.66666666666666,0.0,0.0,731.0
700094133,803,267.6666666666667,0.0,0.0,803.0
50000173,575,191.66666666666666,0.0,0.0,575.0
70005413,4826,1608.6666666666667,0.0,0.0,4826.0
70009236,172,57.333333333333336,0.0,0.0,172.0
CT4183-BLR,795,265.0,0.0,0.0,795.0
C1B4313-2,827,275.6666666666667,0.0,0.0,827.0
CT0246,2490,830.0,0.0,0.0,2490.0
C1B4656-2,26,8.666666666666666,0.0,0.0,26.0
80004073,627,209.0,0.0,0.0,627.0
CT22150-1,2543,847.6666666666666,51.0,0.060165159260715695,2492.0
CEE3065-2CZ35,902,300.6666666666667,25.0,0.08314855875831485,877.0
C1B4654-1SC,8330,2776.6666666666665,3310.0,1.192076830732293,5020.0
CEE4317-1FI,753,251.0,351.0,1.3984063745019921,402.0
CEE3837-1,625,208.33333333333334,326.0,1.5648,299.0
CSP4479-1,945,315.0,503.0,1.596825396825397,442.0
C1B3194-1,1103,367.6666666666667,716.0,1.9474161378059835,387.0
