date,sales
2023-01-01,199
2023-01-02,437
2023-01-03,498
2023-01-04,406
2023-01-05,240
2023-01-06,182
2023-01-07,276
2023-01-08,297
2023-01-09,211
2023-01-10,155
2023-01-11,278
2023-01-12,285
2023-01-13,317
2023-01-14,415
2023-01-15,316
2023-01-16,219
2023-01-17,493
2023-01-18,274
2023-01-19,122
2023-01-20,312
2023-01-21,334
2023-01-22,112
2023-01-23,200
2023-01-24,123
2023-01-25,463
2023-01-26,110
2023-01-27,372
2023-01-28,380
2023-01-29,193
2023-01-30,300
2023-01-31,120
2023-02-01,439
2023-02-02,310
2023-02-03,239
2023-02-04,392
2023-02-05,397
2023-02-06,200
2023-02-07,403
2023-02-08,458
2023-02-09,127
2023-02-10,140
2023-02-11,454
2023-02-12,402
2023-02-13,245
2023-02-14,355
2023-02-15,326
2023-02-16,335
2023-02-17,460
2023-02-18,479
2023-02-19,112
2023-02-20,309
2023-02-21,328
2023-02-22,496
2023-02-23,199
2023-02-24,130
2023-02-25,485
2023-02-26,115
2023-02-27,236
2023-02-28,428
2023-03-01,265
2023-03-02,409
2023-03-03,199
2023-03-04,208
2023-03-05,442
2023-03-06,272
2023-03-07,336
2023-03-08,261
2023-03-09,492
2023-03-10,315
2023-03-11,363
2023-03-12,362
2023-03-13,391
2023-03-14,373
2023-03-15,102
2023-03-16,127
2023-03-17,425
2023-03-18,248
2023-03-19,127
2023-03-20,409
2023-03-21,164
2023-03-22,455
2023-03-23,120
2023-03-24,351
2023-03-25,334
2023-03-26,326
2023-03-27,112
2023-03-28,412
2023-03-29,148
2023-03-30,217
2023-03-31,153
2023-04-01,237
2023-04-02,152
2023-04-03,143
2023-04-04,402
2023-04-05,152
2023-04-06,173
2023-04-07,145
2023-04-08,112
2023-04-09,264
2023-04-10,201
2023-04-11,379
2023-04-12,357
2023-04-13,436
2023-04-14,455
2023-04-15,497
2023-04-16,237
2023-04-17,262
2023-04-18,486
2023-04-19,210
2023-04-20,201
2023-04-21,116
2023-04-22,367
2023-04-23,281
2023-04-24,471
2023-04-25,123
2023-04-26,128
2023-04-27,270
2023-04-28,327
2023-04-29,477
2023-04-30,287
2023-05-01,445
2023-05-02,329
2023-05-03,420
2023-05-04,439
2023-05-05,218
2023-05-06,255
2023-05-07,371
2023-05-08,274
2023-05-09,203
2023-05-10,191
2023-05-11,285
2023-05-12,382
2023-05-13,280
2023-05-14,269
2023-05-15,286
2023-05-16,274
2023-05-17,321
2023-05-18,332
2023-05-19,261
2023-05-20,233
2023-05-21,490
2023-05-22,323
2023-05-23,252
2023-05-24,132
2023-05-25,154
2023-05-26,106
2023-05-27,343
2023-05-28,412
2023-05-29,225
2023-05-30,111
2023-05-31,115
2023-06-01,307
2023-06-02,142
2023-06-03,472
2023-06-04,234
2023-06-05,327
2023-06-06,210
2023-06-07,406
2023-06-08,259
2023-06-09,430
2023-06-10,363
2023-06-11,324
2023-06-12,316
2023-06-13,144
2023-06-14,313
2023-06-15,158
2023-06-16,231
2023-06-17,203
2023-06-18,294
2023-06-19,256
2023-06-20,197
2023-06-21,325
2023-06-22,304
2023-06-23,178
2023-06-24,223
2023-06-25,317
2023-06-26,103
2023-06-27,189
2023-06-28,203
2023-06-29,492
2023-06-30,218
2023-07-01,232
2023-07-02,411
2023-07-03,195
2023-07-04,430
2023-07-05,242
2023-07-06,387
2023-07-07,127
2023-07-08,377
2023-07-09,332
2023-07-10,116
2023-07-11,158
2023-07-12,189
2023-07-13,298
2023-07-14,461
2023-07-15,125
2023-07-16,124
2023-07-17,493
2023-07-18,400
2023-07-19,438
2023-07-20,366
2023-07-21,280
2023-07-22,459
2023-07-23,167
2023-07-24,450
2023-07-25,420
2023-07-26,148
2023-07-27,274
2023-07-28,151
2023-07-29,201
2023-07-30,315
2023-07-31,287
2023-08-01,156
2023-08-02,146
2023-08-03,258
2023-08-04,273
2023-08-05,341
2023-08-06,381
2023-08-07,340
2023-08-08,469
2023-08-09,104
2023-08-10,183
2023-08-11,407
2023-08-12,460
2023-08-13,347
2023-08-14,153
2023-08-15,260
2023-08-16,325
2023-08-17,114
2023-08-18,323
2023-08-19,160
2023-08-20,221
2023-08-21,376
2023-08-22,145
2023-08-23,489
2023-08-24,393
2023-08-25,161
2023-08-26,185
2023-08-27,309
2023-08-28,177
2023-08-29,301
2023-08-30,401
2023-08-31,496
2023-09-01,322
2023-09-02,321
2023-09-03,102
2023-09-04,105
2023-09-05,192
2023-09-06,107
2023-09-07,334
2023-09-08,207
2023-09-09,260
2023-09-10,308
2023-09-11,339
2023-09-12,430
2023-09-13,432
2023-09-14,149
2023-09-15,110
2023-09-16,450
2023-09-17,255
2023-09-18,169
2023-09-19,268
2023-09-20,371
2023-09-21,167
2023-09-22,454
2023-09-23,351
2023-09-24,147
2023-09-25,283
2023-09-26,419
2023-09-27,286
2023-09-28,189
2023-09-29,431
2023-09-30,238
2023-10-01,456
2023-10-02,188
2023-10-03,373
2023-10-04,118
2023-10-05,410
2023-10-06,457
2023-10-07,473
2023-10-08,253
2023-10-09,489
2023-10-10,359
2023-10-11,207
2023-10-12,470
2023-10-13,384
2023-10-14,158
2023-10-15,224
2023-10-16,453
2023-10-17,372
2023-10-18,206
2023-10-19,398
2023-10-20,344
2023-10-21,435
2023-10-22,346
2023-10-23,107
2023-10-24,240
2023-10-25,461
2023-10-26,107
2023-10-27,451
2023-10-28,193
2023-10-29,420
2023-10-30,138
2023-10-31,180
2023-11-01,286
2023-11-02,183
2023-11-03,187
2023-11-04,341
2023-11-05,441
2023-11-06,192
2023-11-07,185
2023-11-08,143
2023-11-09,236
2023-11-10,173
2023-11-11,135
2023-11-12,200
2023-11-13,255
2023-11-14,354
2023-11-15,270
2023-11-16,315
2023-11-17,269
2023-11-18,351
2023-11-19,459
2023-11-20,421
2023-11-21,154
2023-11-22,190
2023-11-23,377
2023-11-24,200
2023-11-25,254
2023-11-26,476
2023-11-27,448
2023-11-28,463
2023-11-29,240
2023-11-30,272
2023-12-01,109
2023-12-02,327
2023-12-03,364
2023-12-04,347
2023-12-05,346
2023-12-06,254
2023-12-07,133
2023-12-08,228
2023-12-09,259
2023-12-10,188
2023-12-11,192
2023-12-12,426
2023-12-13,340
2023-12-14,422
2023-12-15,216
2023-12-16,193
2023-12-17,262
2023-12-18,198
2023-12-19,212
2023-12-20,458
2023-12-21,190
2023-12-22,445
2023-12-23,305
2023-12-24,116
2023-12-25,373
2023-12-26,272
2023-12-27,215
2023-12-28,448
2023-12-29,280
2023-12-30,190
2023-12-31,181
